GRADE,Total_Production_MT
S48CS1V,7320.34
SAE52100,5103.58
S48C,4338.83
38MNVS6,3540.21
SUP9,3236.34
16MNCR5,3178.36
SCM420HV,3105.36
GRADE3,3077.17
SSR550,2638.29
DY7,2420.47
41CR4,2260.5
20MNCR5,2202.24
SCR420HV,2150.24
45C8,2100.64
38MNS6,2089.29
SCM415HV,1953.92
R16,1891.21
SAE1050,1830.04
60SI7,1749.35
S45CS1QDS,1702.72
16MNCR5LSI,1432.2
15B41,1432.01
100CR6,1411.35
S35C,1336.56
B14,1290.52
12L14,1266.74
SUP11A,1260.89
S53CG,1160.18
SCM415,1150.85
44MNSIVS6,1141.75
SAE9254,1132.84
51CRV4,1019.59
38MNVS5,1017.24
EN18D,1002.96
C45RPB,1000.05
AISI420,899.14
AISI410,771.66
AISI430L,755.97
56SICR7,691.45
SUP6,682.02
EN1A,668.36
EN8D,625.8
SCR420H,622.27
52CRMOV4,615.04
EN353,600.63
27MNCRB5,577.63
38B3,572.08
SAE1541M,563.2
SAE15B41,537.79
Unknown,533.83
60SICR8,531.01
EN52,523.16
40CR4C,514.73
25MOCR4,509.33
S45C,507.32
EN8C,505.05
SAE8620,503.79
SCR420,453.8
SUP11AM,446.72
SAE1015,443.13
SCM420H2V2,437.07
C45MOD2,436.07
SCM420H,405.46
SAE1018,403.18
C38M,399.46
94B17H,392.85
S53C,392.5
C70S6,384.2
EN19C,383.5
38MNSIVS6,349.18
SCM435,337.52
S45CS1VQD,334.7
SCM435H,327.57
SCM420HVI,288.37
SCM415H,287.04
SCM420IYM,285.86
SAE1030,285.04
SAE1141,284.38
SCM420,275.76
38MNSIVS5,275.49
AISI416,269.92
22MN6,269.21
EN19,269.16
GRADE2,268.96
C45,264.75
ST523,262.66
SAE8720,261.43
SAE8720M,255.42
S48CSIV,238.12
SUP11,233.03
16MNCR5D,225.18
52CR4MO2V,222.52
S45CS1V,219.95
40MNSIVS6,219.48
S40C,214.02
C56E2,207.21
GTD450,192.52
52CRMO2V,178.01
SAE8617H,171.53
15B41M,171.2
WSS340A2,171.06
SAE1548,170.29
SAE4140,169.94
36MNVS6,169.47
SUP9M,169.09
S45CSQDS1,169.04
SCR415HM,168.51
WSSMIA340A,168.02
1541M,167.38
SAE15B41H,166.89
S45CP3,165.27
WSSMIA340,165.16
SCR420HN,164.81
SCM420HVC,164.32
SAE5150,163.83
S25C,163.73
VS1311354,161.38
S43C,161.1
430L,160.69
SAE4135,157.86
16MNCR5H,157.63
VS13113SU,157.11
EN9,156.71
35MN6MO3,155.3
SCM420H3V2,154.3
S48CSS1V,148.51
38MN2CR,120.72
46MNVS5,120.32
42CR4MO2,120.12
SAE94B17H,119.64
S35CP3,118.65
41CR4C,117.93
C45MO,117.4
S15CP3,115.08
30MNVS6,114.87
20MOCR4,114.52
434MNHS,114.51
EN8M,114.44
36MNVS4,113.99
15B25,112.72
SCM420V,112.31
42CRMO4,112.23
44MN1VS6,112.14
40MNVS6,112.01
S45CSQDS,111.91
16MNCR5HH,111.9
SAE1040,111.86
34CRMO4,111.11
16MNCRH,110.53
AISI434MO1,109.69
C38N,109.67
SUP9A,108.52
AISI434MO,107.24
SGD400,105.95
45CP3,105.66
VS14250,104.92
40CR4B,104.91
ST52,103.76
SAE8650,103.73
LF2,103.6
SAE4135H,103.53
C15PBK,103.37
C45RPBHH,102.6
42CRMOS4,102.43
16MNCRS5,98.65
S45CQDS,62.76
25MO2V,62.76
S70CVS1,61.41
UC1,61.39
AISI434MNH,60.08
AISI434MOI,59.54
R10S10U,59.08
R10S10V,58.84
AISI435MOH,58.44
AISI420VS,58.21
C45MO2,58.01
60SICR7,57.88
N52,57.66
10601C60,57.55
AISI1117,57.21
385MNVS6,56.72
AISI420VL,56.62
VS13113,56.55
EN45A,56.47
VS13111,56.22
C60K,56.15
SS35C,56.13
S115C,56.1
C60,55.61
C43,55.52
SAE1026,55.35
350LF6,55.33
SA350LF2,55.15
SAE1117,54.88
SUP9AM,54.67
SAE8319,54.63
53CG,54.22
SA266,53.9
5150N,53.88
40CAD612PB,53.61
266GRADE2,53.01
AISI434MOL,53
C15M,52.93
C45R,52.87
SAE59254,52.86
V252550,52.81
C10,52.72
AI434MO1,52.51
SCR415HN,52.22
E3250,52.1
EN14B,51.97
S55,51.86
SAE8620H,51.86
C40MOD2,51.77
500N,51.52
10B21,51.52
S48CS,51.46
2NI2CRMO,51.35
18MF5,50.92
SS400,50.17
34CRNIMO6,49.98
CF53,49.81
C10C,49.67
X22,49.45
46S20N,49.44
NITRAALLO,49.32
SAE1144,49.13
X22CRMOV12L,48.57
C45GPB,48.13
ICSS1218,48.13
44MNSIV56,48.13
16MN5CR4,48.13
25CRMO4,48.13
SAE9310,48.13
C70S6K,48.13
SAE1541,48.13
SAE1010,48.13
35C8,48.13
