product_category,GRADE,total_production,total_profit,profit_margin_percentage,performance_status
72,S45CS1VQD,48.1300240186809,8567.1442753252,25.43,"LOW Performer"
72,S48CS1V,54.0154692369151,8318.382262484925,20.03,"LOW Performer"
72,S48C,48.1300240186809,7363.893674858177,18.09,"LOW Performer"
72,52CRMOV4,55.9044854300508,30467.944559377684,41.79,"TOP Performer"
72,SCM435,52.9873906752089,28560.203573937597,36.62,"TOP Performer"
72,430L,49.6330825584434,23029.750307117738,34.14,"TOP Performer"
73,C56E2,53.701748073316,10794.051362736516,22.23,"TOP Performer"
74,38MN2CR,57.9628771361651,14027.016266951954,26.95,"TOP Performer"
75,100CR6,56.9212476583826,13148.80820908638,31.09,"TOP Performer"
76,34CRMO4,55.6472946145989,27934.941896528646,37.32,"TOP Performer"
76,S48CSS1V,50.3125024677583,8502.812917051153,16.06,"TOP Performer"
77,41CR4,48.1300240186809,10347.955164016394,27.96,"LOW Performer"
77,C45RPB,50.0813720292775,8213.34501280151,18.66,"LOW Performer"
77,C45RPB,48.1300240186809,7748.933867007625,20.02,"LOW Performer"
77,AISI410,49.1848898424162,23362.822675147694,40.49,"TOP Performer"
77,SUP9,56.9014726277991,22760.58905111964,30.94,"TOP Performer"
77,SUP6,56.8085586421923,21473.63516674869,31.06,"TOP Performer"
78,AISI430L,48.1300240186809,20455.260207939384,32.2,"TOP Performer"
79,SAE4140,52.7522010614847,12766.032656879297,31.07,"TOP Performer"
80,38MNVS6,52.483905927341,18684.270510133396,37.24,"TOP Performer"
81,16MNCR5,57.9274661715589,13207.462287115428,22.71,"TOP Performer"
82,38MNVS6,62.3686816525194,20207.452855416286,24.64,"TOP Performer"
82,SSR550,52.8037465197131,16685.98390022934,39.3,"TOP Performer"
83,38MNVS6,54.4457925533331,17803.774164939925,25.77,"TOP Performer"
84,S48C,57.9670385880035,11651.374756188703,23.13,"TOP Performer"
85,S35C,52.3247129113999,11825.385117976377,26.28,"TOP Performer"
86,60SICR8,50.3960791651985,16328.329649524314,44.32,"TOP Performer"
87,36MNVS6,57.8540044620128,19786.069526008378,29.56,"TOP Performer"
88,EN52,60.7015073762051,16996.42206533743,35.04,"TOP Performer"
88,EN18D,56.7898444448731,15617.207222340101,27.12,"TOP Performer"
89,41CR4,56.1242946282037,16107.672558294462,40.25,"TOP Performer"
90,38MN2CR,62.7570815557518,21274.65064739986,43.02,"TOP Performer"
91,16MNCR5,57.7286519410507,13739.419161970067,26.77,"TOP Performer"
92,12L14,56.3110992322721,14303.019204997114,26.08,"TOP Performer"
93,S35C,62.7570815557518,15689.27038893795,23.92,"TOP Performer"
94,S48C,62.7570815557518,13053.472963596376,19.68,"TOP Performer"
95,S48CSS1V,50.0645756694115,9962.850558212887,20.6,"TOP Performer"
96,SUP9,52.3775285868089,15660.881047455861,24.71,"TOP Performer"
96,51CRV4,56.7076192724316,14800.688630104647,28.84,"TOP Performer"
96,SAE1018,58.1681258252338,12098.97017164863,26.1,"TOP Performer"
97,S48CS1V,52.2516298063364,10659.332480492627,22.69,"TOP Performer"
98,45C8,54.1831386047403,16146.575304212609,41.16,"TOP Performer"
99,38MNVS6,58.7767711840342,21747.405338092656,36.42,"TOP Performer"
100,S48CS1V,62.7570815557518,13178.987126707878,19.2,"TOP Performer"
101,S48CS1V,54.090771602001,10331.337375982192,18.21,"TOP Performer"
102,34CRMO4,55.4643162374249,19911.68952923554,21.63,"TOP Performer"
102,S48CS1V,55.5515555436916,9943.728442320797,16.54,"TOP Performer"
103,S48CS1V,58.4642807988722,10114.320578204892,21.31,"TOP Performer"
104,SAE15B41,48.1300240186809,15497.86773401525,34.51,"TOP Performer"
105,Unknown,48.1300240186809,14053.967013454823,27.81,"TOP Performer"
106,S48CS1V,57.497275917407,11959.433390820657,19.66,"LOW Performer"
106,S48CS1V,60.0060219108184,10621.065878214857,21.8,"LOW Performer"
106,S48CS1V,59.9355376264115,9589.68602022584,15.17,"LOW Performer"
106,SUP11A,57.0808283758975,22147.36140984823,32.41,"TOP Performer"
106,SUP9AM,54.669639000756,19243.71292826611,31.4,"TOP Performer"
106,38MNS6,59.0561724557431,17657.795564267188,39.97,"TOP Performer"
107,S35C,58.1639220328176,12912.390691285507,29.92,"TOP Performer"
108,15B41M,59.3239667892715,13466.540461164632,26.55,"TOP Performer"
109,16MNCR5,59.4544734946477,12544.893907370664,21.66,"TOP Performer"
110,16MNCR5,59.9605648893298,15529.786306336418,26.81,"TOP Performer"
110,S15CP3,57.2245689317357,14191.693095070454,24.43,"TOP Performer"
111,SCM420HV,50.9596931773709,18396.449237030894,27.14,"TOP Performer"
111,S45CS1V,59.6958877564272,12954.007643144701,35.93,"TOP Performer"
112,SAE52100,55.421775159293,13744.600239504663,28.97,"TOP Performer"
112,S48C,48.1300240186809,11888.115932614182,34.74,"TOP Performer"
