GRADE,total_charge_input,total_production_output,yield_efficiency_percentage
AISI435MOH,54.938266238858,58.4355502023439,106.37
AISI420VS,118.7665200551937,116.4254838469746,98.03
S45CQDS,43287.66455174431,41294.15966368427,95.39
S35CP3,43360.68986896051,41350.05191180299,95.36
SAE94B17H,126.3245275868639,119.6362585715145,94.71
25MO2V,45571.444266436236,42988.60086568948,94.33
38MN2CR,45636.61211441878,43046.56374282564,94.32
S70CVS1,43287.66455174431,40408.94732347411,93.35
UC1,43287.66455174431,40391.38946339166,93.31
16MNCRH,43477.502470403146,40394.74869576127,92.91
46MNVS5,129.6395493543923,120.3205380896774,92.81
S48CSIV,134569.53170464194,124680.44815821256,92.65
36MNVS4,43351.02808702909,40084.50935463389,92.46
30MNVS6,45643.638362198675,41820.72477741781,91.62
AISI434MNH,45571.444266436236,41154.738339809875,90.31
42CR4MO2,43349.38840483727,39070.83029625836,90.13
SUP11,91369.76627947704,82341.05564425542,90.12
X22,54.938266238858,49.4491264302559,90.01
VS13113,62.9263184020096,56.5536936927757,89.87
R10S10U,43287.66455174431,38875.22462654197,89.81
SCM420V,45630.61418379331,40893.86557115407,89.62
EN8D,130457.4024049274,116903.74477471708,89.61
AISI434MOI,45571.444266436236,40783.86506123226,89.49
AI434MO1,117.5390404165362,105.0163563071324,89.35
52CRMO2V,86641.84865609875,76963.56052926989,88.83
C45MO,45749.44990935939,40491.1044065144,88.51
R10S10V,45571.444266436236,40307.24882287221,88.45
C45MO2,43287.66455174431,38167.859200484745,88.17
SAE1030,180073.14854364438,158447.3292534123,87.99
40CR4C,307705.125865993,270428.74464168865,87.89
SAE1548,91209.2275839226,79915.44802696512,87.62
SCM420H,268921.81531359657,235602.3263411362,87.61
S15CP3,86575.3291034886,75725.50266592218,87.47
41CR4C,43353.66038519154,37792.32630564728,87.17
38MNVS6,1767653.671631806,1540179.7533222365,87.13
C45MOD2,175753.37201247134,153017.29504632778,87.06
SCM420HV,1371142.0250795872,1193011.9924012641,87.01
60SICR7,45571.444266436236,39650.82396864179,87.01
EN52,266821.4295933598,231835.71932399095,86.89
AISI1117,65.839381734743,57.2053418608169,86.89
SCM415,699716.1016298896,607748.1271558019,86.86
56SICR7,405979.0009570161,352101.79712209984,86.73
SCM415HV,1076477.6150150863,933078.353861116,86.68
SAE1541M,132801.28502052478,115104.2927896013,86.67
38B3,312353.93307702616,270681.09712724446,86.66
10601C60,66.4158954029212,57.5521472301423,86.65
SCR420H,226159.56716389392,195867.02675214835,86.61
44MNSIVS6,672654.9455830862,581456.9185202749,86.44
38MNSIVS6,180140.75806206532,155670.2411883519,86.42
27MNCRB5,360143.7964045633,310867.6096563977,86.32
SAE8617H,134430.55308461672,116012.8189489286,86.3
SCM420HVI,134550.49019422158,116060.43670752441,86.26
15B41M,43503.723702500254,37486.54012284273,86.17
SCM420IYM,225573.44161748866,194295.27060204922,86.13
SAE1050,846290.9421439582,728671.404883078,86.1
20MOCR4,91142.88853287246,78449.37555797992,86.07
AISI420VL,43287.66455174431,37256.595916648956,86.07
100CR6,800404.2148116995,688153.9146425279,85.98
EN18D,531529.2528711981,456944.4582129188,85.97
60SI7,982683.5291279099,844826.2518918074,85.97
SUP11A,663610.769427079,569680.654968716,85.85
SCM420HVC,86700.10184547721,74416.8712235121,85.83
38MNVS5,488135.9323055373,418742.07348640094,85.78
C10,61.5187254659314,52.7155403837332,85.69
25MOCR4,314568.69729187246,269401.8268295744,85.64
WSS340A2,86637.1722274209,74144.48644489287,85.58
SUP6,312570.1185586281,267497.7106262644,85.58
16MNCR5HH,45648.53597952848,39043.091609961666,85.53
S53C,266721.6385288089,228110.1555915869,85.52
41CR4,1420173.1528188705,1213829.8216591573,85.47
SAE1141,132274.37916718403,113025.0099677286,85.45
S45CSQDS1,132146.77336992478,112892.76346538661,85.43
SUP9M,132146.77336992478,112892.3059258325,85.43
S53CG,615747.064993837,525958.8438717044,85.42
S48CS1V,3745109.787033793,3198097.6819959646,85.39
S115C,43287.66455174431,36913.5167434591,85.27
385MNVS6,45571.444266436236,38854.44119147046,85.26
38MNS6,926828.4940106568,790115.4746447923,85.25
EN1A,224023.22707762144,190968.24355128466,85.24
52CR4MO2V,88996.57213066242,75836.23278939382,85.21
SAE4140,136714.33279930855,116405.86061495767,85.15
SAE8620,264560.24878433556,225253.87257314858,85.14
C38M,221207.24931866283,188279.81905966136,85.11
45C8,931328.7005789438,792544.5768162766,85.1
SAE9254,490581.68172179325,417438.34576540516,85.09
94B17H,218848.58925182396,186136.94863941247,85.05
34CRNIMO6,117.5390404165362,99.9566057444328,85.04
GRADE3,1428111.0350335203,1213817.1605992138,84.99
36MNVS6,88935.45339564727,75569.25687156347,84.97
42CRMO4,88859.10881818051,75346.91127344513,84.79
SAE52100,2529554.2407910926,2143894.729298608,84.75
51CRV4,490407.5280720311,415498.22922400443,84.73
16MNCR5D,134494.47169713705,113910.49529617585,84.7
434MNHS,45633.15290684233,38652.6577387053,84.7
DY7,1238421.2227399144,1048564.4885259662,84.67
SUP9,1876411.988843152,1588376.8086309666,84.65
SCR420HV,933588.8488560889,789500.7229746531,84.57
40MNVS6,88859.10881818051,75150.56869084667,84.57
S45C,225905.1359114412,191016.93707312748,84.56
ST52,43350.292490746346,36654.91407765149,84.56
S48C,2265046.4882618147,1915076.3430747893,84.55
VS13111,45571.444266436236,38507.80813425617,84.5
15B41,575284.3235378687,485899.6811994797,84.46
34CRMO4,86575.3291034886,73111.43994063255,84.45
SCM435,137044.6621811981,115690.90969623593,84.42
SAE1018,177923.88062135,150195.6906353672,84.42
16MNCR5,1903532.6234408836,1606586.3410712846,84.4
C60K,45571.444266436236,38461.86019907818,84.4
SS35C,45571.444266436236,38447.356898109276,84.37
SCR420,91536.2317826641,77123.78783818924,84.25
S45CSQDS,91142.88853287246,76656.70195142536,84.11
SAE1040,91142.88853287246,76626.54023792104,84.07
C70S6,223417.5947432938,187752.22490765198,84.04
12L14,843354.1436410665,708531.6191209147,84.01
SAE15B41H,86642.0274861521,72721.92714993269,83.93
SCM415H,89269.37399754992,74904.82309470828,83.91
