GRADE,avg_energy_per_ton,sample_count
16MNCRH,152.64,661
15B41M,152.56,661
44MN1VS6,152.55,659
EN8D,152.51,1983
C45RPBHH,152.5,659
52CRMO2V,152.48,1317
S55,152.45,658
34CRMO4,152.45,1316
R10S10U,152.45,658
40CAD612PB,152.45,658
16MN5CR4,152.45,658
SA266,152.45,658
53CG,152.45,658
S45CQDS,152.45,658
S35CP3,152.45,659
SAE1144,152.45,658
V252550,152.45,658
AISI420VL,152.45,658
E3250,152.45,658
S115C,152.45,658
S15CP3,152.45,1316
SAE5150,152.45,1974
UC1,152.45,658
S70CVS1,152.45,658
SCR415HN,152.45,658
SAE1541,152.45,658
40MNSIVS6,152.45,2632
C45MO2,152.45,658
35C8,152.45,658
X22CRMOV12L,152.45,658
SCM420HVC,152.44,1318
35MN6MO3,152.44,660
45CP3,152.43,659
S48CSS1V,152.43,660
36MNVS4,152.43,659
WSS340A2,152.42,1317
SAE15B41H,152.42,1317
41CR4C,152.42,659
LF2,152.41,659
42CR4MO2,152.4,659
VS1311354,152.39,660
C56E2,152.36,661
ST52,152.34,659
AISI434MO,152.34,659
SAE1015,151.79,3977
SCM435H,151.77,3975
SCM415,151.69,10613
94B17H,151.65,3319
S45CS1VQD,151.64,3318
C45MOD2,151.41,2664
