GRADE,year,month,total_production,prev_month_production,mom_change_percent,mom_change_absolute,heat_count
100CR6,2023,10,621.7002099412464,384.650492353477,61.63,237.05,11
100CR6,2023,9,384.650492353477,404.99716203802217,-5.02,-20.35,7
12L14,2023,10,211.7046740160813,663.7802991243733,-68.11,-452.08,4
12L14,2023,9,663.7802991243733,391.2575372806573,69.65,272.52,12
15B41,2023,10,782.0827539181427,649.9249914929605,20.33,132.16,14
16MNCR5,2023,10,1049.149204704698,1018.3843663065812,3.02,30.76,19
16MNCR5,2023,9,1018.3843663065812,1110.8242949684131,-8.32,-92.44,18
16MNCR5LSI,2023,10,388.78961272691623,494.0402366570464,-21.3,-105.25,7
16MNCR5LSI,2023,9,494.0402366570464,549.3722759527701,-10.07,-55.33,9
20MNCR5,2023,10,390.7206583431128,543.6902259206546,-28.14,-152.97,7
20MNCR5,2023,9,543.6902259206546,1267.8318348848327,-57.12,-724.14,10
38B3,2023,9,223.6133038888268,235.6883781275344,-5.12,-12.08,4
38MNS6,2023,10,950.0579272899362,624.6001637118566,52.11,325.46,17
38MNS6,2023,9,624.6001637118566,514.6314944971591,21.37,109.97,11
38MNVS5,2023,10,146.0517129919755,285.7050654448941,-48.88,-139.65,3
38MNVS5,2023,9,285.7050654448941,585.4881320897617,-51.2,-299.78,5
38MNVS6,2023,10,962.1389492775194,1619.7596501679209,-40.6,-657.62,17
38MNVS6,2023,9,1619.7596501679209,958.3078456591505,69.02,661.45,28
40CR4C,2023,10,178.05140128058468,220.5680402459987,-19.28,-42.52,3
41CR4,2023,10,774.459517082567,572.8675529666326,35.19,201.59,14
41CR4,2023,9,572.8675529666326,913.1763372943075,-37.27,-340.31,10
44MNSIVS6,2023,10,177.66825117823151,169.0218321081218,5.12,8.65,3
44MNSIVS6,2023,9,169.0218321081218,795.0618344421013,-78.74,-626.04,3
45C8,2023,10,1125.006306792737,220.78298253695678,409.55,904.22,20
45C8,2023,9,220.78298253695678,754.8503985105252,-70.75,-534.07,4
51CRV4,2023,9,337.5433893524503,566.4318151392349,-40.41,-228.89,6
52CRMOV4,2023,9,225.6761002856303,334.1800213209563,-32.47,-108.5,4
56SICR7,2023,9,341.7718170300774,349.67680475965045,-2.26,-7.9,6
60SI7,2023,10,470.1838080348521,562.5297628056657,-16.42,-92.35,8
60SI7,2023,9,562.5297628056657,716.6366537602806,-21.5,-154.11,10
AISI410,2023,10,416.4631023453868,199.3730231725699,108.89,217.09,8
AISI410,2023,9,199.3730231725699,155.82161553382218,27.95,43.55,4
AISI420,2023,10,430.08348773836303,313.6342506215984,37.13,116.45,8
AISI420,2023,9,313.6342506215984,155.4235993175893,101.79,158.21,6
AISI430L,2023,9,477.75111100936766,159.7677940695274,199.03,317.98,9
C45RPB,2023,10,385.0401921494472,615.0132746239719,-37.39,-229.97,8
C70S6,2023,9,163.24783615236748,158.1980382904675,3.19,5.05,3
DY7,2023,10,1071.5682258702486,993.7298761789394,7.83,77.84,19
DY7,2023,9,993.7298761789394,355.1704814497778,179.79,638.56,18
EN18D,2023,10,332.4767240359962,494.358373308173,-32.75,-161.88,6
EN18D,2023,9,494.358373308173,176.124737895204,180.69,318.23,9
EN1A,2023,10,169.6948292402293,223.0748464246845,-23.93,-53.38,3
EN1A,2023,9,223.0748464246845,275.5892830331274,-19.06,-52.51,4
EN353,2023,10,229.83667792762338,215.8486893823579,6.48,13.99,4
EN353,2023,9,215.8486893823579,154.9486852978247,39.3,60.9,4
EN8C,2023,10,174.55716319888842,164.4969884161676,6.12,10.06,3
EN8C,2023,9,164.4969884161676,165.9917368001204,-0.9,-1.49,3
EN8D,2023,10,286.814081501445,226.9331004310016,26.39,59.88,5
GRADE3,2023,10,1692.6501990607335,572.1229527491731,195.85,1120.53,30
GRADE3,2023,9,572.1229527491731,812.3933068112524,-29.58,-240.27,10
R16,2023,10,644.023510812853,1187.7903154736057,-45.78,-543.77,12
S35C,2023,10,458.5195951292793,388.4324190991253,18.04,70.09,8
S35C,2023,9,388.4324190991253,489.60949575345666,-20.66,-101.18,7
S45C,2023,9,178.5904869042911,215.4180886414916,-17.1,-36.83,3
S45CS1QDS,2023,10,530.9907832910425,567.7534261685089,-6.48,-36.76,10
S45CS1QDS,2023,9,567.7534261685089,603.974228430912,-6,-36.22,10
S48C,2023,10,1475.5470657170404,1914.1442815313812,-22.91,-438.6,27
S48C,2023,9,1914.1442815313812,949.1416263915115,101.67,965,34
S48CS1V,2023,10,2427.8850532674605,2252.806153461324,7.77,175.08,43
S48CS1V,2023,9,2252.806153461324,2639.6439324897087,-14.65,-386.84,40
S53C,2023,10,222.83032213948388,169.67163450041488,31.33,53.16,4
S53CG,2023,10,766.7348398487354,393.4477154458563,94.88,373.29,14
SAE1015,2023,9,275.9296502917796,167.1963042827377,65.03,108.73,5
SAE1018,2023,10,174.8614905891235,228.3140794859475,-23.41,-53.45,3
SAE1050,2023,10,643.9899743147548,389.056800986038,65.53,254.93,11
SAE1050,2023,9,389.056800986038,796.9946694865918,-51.18,-407.94,7
SAE1541M,2023,10,169.7789695619748,285.8880380770763,-40.61,-116.11,3
SAE15B41,2023,10,157.6052836966081,280.8626159342041,-43.89,-123.26,3
SAE52100,2023,10,1972.6936398820378,949.1086018461596,107.85,1023.59,35
SAE52100,2023,9,949.1086018461596,2181.7742187594495,-56.5,-1232.67,17
SAE8620,2023,10,282.3013219948932,161.0414653730956,75.3,121.26,5
SAE9254,2023,10,175.5000370997721,569.1404648972228,-69.16,-393.64,3
SAE9254,2023,9,569.1404648972228,388.1989097086662,46.61,180.94,10
SCM415,2023,10,751.1795204685129,340.5346553264655,120.59,410.64,13
SCM415HV,2023,10,386.87723456347237,570.9111068490998,-32.24,-184.03,7
SCM415HV,2023,9,570.9111068490998,996.1356893035677,-42.69,-425.22,10
SCM420H2V2,2023,10,170.5637931451715,161.4527037532958,5.64,9.11,3
SCM420HV,2023,10,1064.3393531777974,953.8952658448503,11.58,110.44,19
SCM420HV,2023,9,953.8952658448503,1087.1216716211957,-12.25,-133.23,16
SCR420H,2023,9,456.09415878776434,166.1801880518898,174.46,289.91,8
SCR420HV,2023,10,550.983508109973,590.2320842786824,-6.65,-39.25,10
SCR420HV,2023,9,590.2320842786824,1009.0253511850009,-41.5,-418.79,10
SSR550,2023,10,1189.3342363870202,641.6256808779739,85.36,547.71,22
SSR550,2023,9,641.6256808779739,807.3318084590244,-20.53,-165.71,12
SUP11A,2023,10,511.44724266775296,349.60846920869824,46.29,161.84,9
SUP11A,2023,9,349.60846920869824,399.8318892553421,-12.56,-50.22,6
SUP11AM,2023,9,284.0588255640948,162.6595793257694,74.63,121.4,5
SUP6,2023,10,345.59779626218403,336.4251099131796,2.73,9.17,6
SUP9,2023,10,1367.2690352249667,507.80103451026406,169.25,859.47,24
SUP9,2023,9,507.80103451026406,1361.269194079896,-62.7,-853.47,9
Unknown,2023,10,226.2683006092239,307.5581330594458,-26.43,-81.29,4
