GRADE,total_heats,total_production,avg_production_per_heat
S48CS1V,23,1297.1780710979776,56.4
S48C,14,792.4187010489952,56.6
SAE9254,8,457.27704221674605,57.16
38MNVS6,7,416.0277361827299,59.43
41CR4,7,394.5017465967889,56.36
16MNCR5,6,333.7423805929576,55.62
SAE52100,6,328.68927830986047,54.78
DY7,6,327.3381963022008,54.56
SCM415H,5,287.0428176021392,57.41
100CR6,5,270.1306955746056,54.03
12L14,4,229.5088513520438,57.38
20MNCR5,4,228.8927950860295,57.22
SCM435,4,227.3055702407251,56.83
C45,4,212.0625569645758,53.02
S45C,3,178.5904869042911,59.53
SCR420HV,3,178.3674051929397,59.46
SCM420HV,3,177.2666043583865,59.09
SCR420H,3,176.4103095409038,58.8
SCM420HVI,3,171.5201615968997,57.17
S35C,3,164.8504943484431,54.95
SCM420H2V2,3,161.4527037532958,53.82
AISI430L,3,155.48675613398729,51.83
AISI420,3,152.7787564541531,50.93
S48CSS1V,3,148.5071021558507,49.5
