GRADE,year,month,grade_production,total_monthly_production,grade_mix_percentage,heat_count
S48CS1V,2023,10,2427.8850532674605,37972.927349791105,6.39,43
SAE52100,2023,10,1972.6936398820378,37972.927349791105,5.2,35
GRADE3,2023,10,1692.6501990607335,37972.927349791105,4.46,30
S48C,2023,10,1475.5470657170404,37972.927349791105,3.89,27
SUP9,2023,10,1367.2690352249667,37972.927349791105,3.6,24
SSR550,2023,10,1189.3342363870202,37972.927349791105,3.13,22
45C8,2023,10,1125.006306792737,37972.927349791105,2.96,20
DY7,2023,10,1071.5682258702486,37972.927349791105,2.82,19
SCM420HV,2023,10,1064.3393531777974,37972.927349791105,2.8,19
16MNCR5,2023,10,1049.149204704698,37972.927349791105,2.76,19
38MNVS6,2023,10,962.1389492775194,37972.927349791105,2.53,17
38MNS6,2023,10,950.0579272899362,37972.927349791105,2.5,17
15B41,2023,10,782.0827539181427,37972.927349791105,2.06,14
41CR4,2023,10,774.459517082567,37972.927349791105,2.04,14
S53CG,2023,10,766.7348398487354,37972.927349791105,2.02,14
SCM415,2023,10,751.1795204685129,37972.927349791105,1.98,13
R16,2023,10,644.023510812853,37972.927349791105,1.7,12
SAE1050,2023,10,643.9899743147548,37972.927349791105,1.7,11
100CR6,2023,10,621.7002099412464,37972.927349791105,1.64,11
SCR420HV,2023,10,550.983508109973,37972.927349791105,1.45,10
S45CS1QDS,2023,10,530.9907832910425,37972.927349791105,1.4,10
SUP11A,2023,10,511.44724266775296,37972.927349791105,1.35,9
60SI7,2023,10,470.1838080348521,37972.927349791105,1.24,8
S35C,2023,10,458.5195951292793,37972.927349791105,1.21,8
AISI420,2023,10,430.08348773836303,37972.927349791105,1.13,8
AISI410,2023,10,416.4631023453868,37972.927349791105,1.1,8
20MNCR5,2023,10,390.7206583431128,37972.927349791105,1.03,7
SCM415HV,2023,10,386.87723456347237,37972.927349791105,1.02,7
16MNCR5LSI,2023,10,388.78961272691623,37972.927349791105,1.02,7
C45RPB,2023,10,385.0401921494472,37972.927349791105,1.01,8
SUP6,2023,10,345.59779626218403,37972.927349791105,0.91,6
S45CS1VQD,2023,10,334.700567954785,37972.927349791105,0.88,6
EN18D,2023,10,332.4767240359962,37972.927349791105,0.88,6
EN8D,2023,10,286.814081501445,37972.927349791105,0.76,5
SAE8620,2023,10,282.3013219948932,37972.927349791105,0.74,5
S48CSIV,2023,10,238.1206161717202,37972.927349791105,0.63,4
EN353,2023,10,229.83667792762338,37972.927349791105,0.61,4
Unknown,2023,10,226.2683006092239,37972.927349791105,0.6,4
S53C,2023,10,222.83032213948388,37972.927349791105,0.59,4
AISI416,2023,10,214.77044944854913,37972.927349791105,0.57,4
12L14,2023,10,211.7046740160813,37972.927349791105,0.56,4
ST523,2023,10,209.27004441567632,37972.927349791105,0.55,4
44MNSIVS6,2023,10,177.66825117823151,37972.927349791105,0.47,3
40CR4C,2023,10,178.05140128058468,37972.927349791105,0.47,3
SAE1018,2023,10,174.8614905891235,37972.927349791105,0.46,3
SAE9254,2023,10,175.5000370997721,37972.927349791105,0.46,3
EN8C,2023,10,174.55716319888842,37972.927349791105,0.46,3
SCM420H2V2,2023,10,170.5637931451715,37972.927349791105,0.45,3
EN1A,2023,10,169.6948292402293,37972.927349791105,0.45,3
SAE1541M,2023,10,169.7789695619748,37972.927349791105,0.45,3
SUP9M,2023,10,169.0940431493762,37972.927349791105,0.45,3
SCM420,2023,10,166.7396596801495,37972.927349791105,0.44,3
40MNSIVS6,2023,10,166.08202764851092,37972.927349791105,0.44,3
SCR415HM,2023,10,168.5054466528748,37972.927349791105,0.44,3
1541M,2023,10,167.3848462382314,37972.927349791105,0.44,3
22MN6,2023,10,162.424878040657,37972.927349791105,0.43,3
SCR420HN,2023,10,164.8081180735118,37972.927349791105,0.43,3
SAE8720,2023,10,158.2980265431185,37972.927349791105,0.42,3
VS1311354,2023,10,161.3754682482376,37972.927349791105,0.42,3
SAE15B41,2023,10,157.6052836966081,37972.927349791105,0.42,3
38MNVS5,2023,10,146.0517129919755,37972.927349791105,0.38,3
42CR4MO2,2023,10,120.1153355533971,37972.927349791105,0.32,2
SAE94B17H,2023,10,119.6362585715145,37972.927349791105,0.32,2
38MN2CR,2023,10,120.7199586919169,37972.927349791105,0.32,2
SCM420HVI,2023,10,116.8459143427497,37972.927349791105,0.31,2
AISI430L,2023,10,118.4512970540296,37972.927349791105,0.31,2
SAE1141,2023,10,116.3999541968704,37972.927349791105,0.31,2
41CR4C,2023,10,117.9330610696276,37972.927349791105,0.31,2
S35CP3,2023,10,118.6493296744691,37972.927349791105,0.31,2
C45MO,2023,10,117.4022402101684,37972.927349791105,0.31,2
SCM420IYM,2023,10,118.6077505904889,37972.927349791105,0.31,2
36MNVS4,2023,10,113.990950380555,37972.927349791105,0.3,2
SCM420V,2023,10,112.3121691080375,37972.927349791105,0.3,2
36MNVS6,2023,10,114.9343523529314,37972.927349791105,0.3,2
38B3,2023,10,112.7769886254359,37972.927349791105,0.3,2
SCM420H,2023,10,113.3338340509006,37972.927349791105,0.3,2
S45C,2023,10,113.3091934232702,37972.927349791105,0.3,2
51CRV4,2023,10,115.6099075014562,37972.927349791105,0.3,2
S15CP3,2023,10,115.0843505561127,37972.927349791105,0.3,2
S45CS1V,2023,10,111.8787837372669,37972.927349791105,0.29,2
16MNCR5HH,2023,10,111.8969277872843,37972.927349791105,0.29,2
25MOCR4,2023,10,110.5055724983273,37972.927349791105,0.29,2
