GRADE,total_heats,avg_production,std_production,production_variation_percent
51CRV4,18,56.64,2.3,4.07
R16,35,54.03,2.45,4.53
38B3,10,57.21,2.65,4.63
EN8D,11,56.89,2.67,4.7
44MNSIVS6,20,57.09,2.72,4.77
27MNCRB5,10,57.76,2.85,4.93
SAE1050,32,57.19,3.09,5.41
SAE1541M,10,56.32,3.1,5.5
AISI410,15,51.44,2.83,5.51
SCM415HV,34,57.47,3.21,5.59
52CRMOV4,11,55.91,3.14,5.62
SCR420HV,38,56.59,3.19,5.63
60SICR8,10,53.1,3.02,5.69
EN1A,12,55.7,3.23,5.8
AISI420,17,52.89,3.09,5.85
SUP11A,22,57.31,3.4,5.93
B14,24,53.77,3.29,6.12
SCR420H,11,56.57,3.48,6.15
SCM415,20,57.54,3.6,6.25
56SICR7,12,57.62,3.62,6.29
SAE9254,20,56.64,3.56,6.29
S48CS1V,130,56.31,3.62,6.43
SCM420HV,54,57.51,3.75,6.52
SAE52100,91,56.08,3.67,6.55
38MNVS6,62,57.1,3.76,6.59
16MNCR5,57,55.76,3.7,6.64
S35C,24,55.69,3.7,6.64
38MNS6,37,56.47,3.76,6.66
SUP9,58,55.8,3.73,6.68
SSR550,49,53.84,3.63,6.75
S53CG,21,55.25,3.76,6.8
12L14,23,55.08,3.79,6.89
DY7,43,56.29,3.94,7
16MNCR5LSI,26,55.08,3.87,7.03
S48C,78,55.63,3.91,7.04
100CR6,25,56.45,3.98,7.05
15B41,25,57.28,4.05,7.07
GRADE3,54,56.98,4.17,7.31
41CR4,40,56.51,4.16,7.36
EN353,11,54.6,4.04,7.39
45C8,38,55.28,4.08,7.39
C45RPB,20,50,3.72,7.44
20MNCR5,40,55.06,4.19,7.61
60SI7,31,56.43,4.33,7.67
SUP6,12,56.84,4.55,8.01
EN18D,18,55.72,4.47,8.02
38MNVS5,18,56.51,4.56,8.07
S45CS1QDS,31,54.93,4.44,8.07
Unknown,10,53.38,4.66,8.72
AISI430L,14,54,4.74,8.78
