GRADE,Avg_Energy_per_Ton
AISI435MOH,82.05
X22,85.28
18MF5,89.53
C70S6K,116.16
C10,119.3
S25C,123.56
AISI420VS,126.6
SAE94B17H,131.13
S48CS,135.02
VS14250,137.01
46S20N,137.19
C45R,137.79
C15M,139.36
10B21,139.46
EN45A,141.89
AISI1117,142.54
SAE8620H,146.07
16MNCR5HH,148.45
EN8M,148.45
434MNHS,148.45
SCR420,148.46
350LF6,148.48
VS13113SU,148.49
S43C,148.5
SCM420H3V2,148.5
38MNSIVS5,148.51
S45CS1V,148.53
16MNCR5H,148.53
SCM435,148.54
42CRMOS4,148.54
C60,148.54
SUP9A,148.54
C45GPB,148.54
AISI434MNH,148.54
385MNVS6,148.54
20MOCR4,148.54
266GRADE2,148.54
VS13111,148.54
60SICR7,148.54
C43,148.54
C15PBK,148.54
2NI2CRMO,148.54
SAE4140,148.54
ICSS1218,148.54
44MNSIV56,148.54
5150N,148.54
C60K,148.54
25CRMO4,148.54
NITRAALLO,148.54
SAE8319,148.54
SAE59254,148.54
C45MO,148.54
38MN2CR,148.54
AISI434MOI,148.54
AISI434MOL,148.54
25MO2V,148.54
SUP9AM,148.54
SUP11,148.54
S40C,148.54
SAE1117,148.54
SAE1026,148.54
SAE1040,148.54
16MNCRS5,148.54
SS35C,148.54
EN14B,148.54
SAE1010,148.54
R10S10V,148.54
S45CSQDS,148.54
SGD400,148.54
15B25,148.59
WSSMIA340A,148.59
SAE1548,148.6
SCM420V,148.6
SAE4135H,148.61
SAE8720M,148.64
30MNVS6,148.65
430L,148.7
SUP11AM,149.28
S45C,149.3
SCM420IYM,149.3
SCR420H,149.33
56SICR7,149.39
SAE8720,149.46
SAE1030,149.49
GTD450,149.49
27MNCRB5,149.49
52CRMOV4,149.51
38MNSIVS6,149.53
B14,149.62
Unknown,149.63
25MOCR4,149.64
C45RPB,149.72
20MNCR5,149.76
22MN6,149.77
EN19,149.78
SCM420HVI,149.79
SCM415HV,149.79
16MNCR5D,149.8
S48CSIV,149.8
SAE8617H,149.81
44MNSIVS6,149.82
SCM420H,149.82
EN19C,149.83
AISI416,149.91
S35C,149.97
S45CS1QDS,149.99
EN1A,150.02
C70S6,150.05
SUP9,150.08
60SI7,150.1
R16,150.1
SUP6,150.15
38B3,150.19
SAE15B41,150.19
GRADE3,150.23
EN353,150.24
SAE9254,150.27
51CRV4,150.27
S48CS1V,150.28
34CRNIMO6,150.29
AI434MO1,150.29
SAE1050,150.33
52CR4MO2V,150.39
EN8C,150.43
GRADE2,150.43
SAE1018,150.43
SAE4135,150.43
SCM415H,150.44
S53C,150.44
1541M,150.44
100CR6,150.45
EN52,150.45
C45,150.46
42CRMO4,150.46
C38N,150.46
40CR4B,150.46
SAE8650,150.46
AISI434MO1,150.46
40MNVS6,150.46
36MNVS6,150.47
SCR420HN,150.47
SCR415HM,150.47
WSSMIA340,150.5
SCR420HV,150.54
12L14,150.55
41CR4,150.58
S48C,150.58
AISI410,150.6
SAE52100,150.62
16MNCR5LSI,150.63
38MNVS5,150.64
AISI430L,150.65
45C8,150.74
60SICR8,150.75
16MNCR5,150.76
EN18D,150.78
SSR550,150.8
C38M,150.82
SUP11A,150.85
ST523,150.85
SCM420,150.85
DY7,150.87
SCM420HV,150.89
15B41,150.9
38MNVS6,150.95
SAE1141,151.1
EN9,151.11
S45CSQDS1,151.11
SUP9M,151.11
38MNS6,151.12
SAE8620,151.12
SAE1541M,151.15
S53CG,151.29
SCM420H2V2,151.3
40CR4C,151.31
AISI420,151.4
C45MOD2,151.41
S45CS1VQD,151.64
94B17H,151.65
SCM415,151.69
SCM435H,151.77
SAE1015,151.79
ST52,152.34
AISI434MO,152.34
C56E2,152.36
VS1311354,152.39
42CR4MO2,152.4
LF2,152.41
WSS340A2,152.42
SAE15B41H,152.42
41CR4C,152.42
45CP3,152.43
S48CSS1V,152.43
36MNVS4,152.43
SCM420HVC,152.44
35MN6MO3,152.44
S55,152.45
34CRMO4,152.45
R10S10U,152.45
40CAD612PB,152.45
16MN5CR4,152.45
SA266,152.45
53CG,152.45
S45CQDS,152.45
S35CP3,152.45
SAE1144,152.45
V252550,152.45
AISI420VL,152.45
E3250,152.45
S115C,152.45
S15CP3,152.45
SAE5150,152.45
UC1,152.45
S70CVS1,152.45
SCR415HN,152.45
SAE1541,152.45
40MNSIVS6,152.45
C45MO2,152.45
35C8,152.45
X22CRMOV12L,152.45
52CRMO2V,152.48
C45RPBHH,152.5
EN8D,152.51
44MN1VS6,152.55
15B41M,152.56
16MNCRH,152.64
C10C,155.25
N52,156.26
VS13113,156.32
S45CP3,165.79
C40MOD2,168.59
CF53,171.25
500N,174.07
10601C60,174.22
SAE9310,176.86
46MNVS5,179.37
SS400,189.35
SA350LF2,190.42
