GRADE,product_category,heat_count,total_production,PROFIT_PER_MT,REVENUE_PER_MT,total_profit,profit_margin_percentage
52CRMO2V,376,1,61.137936010965,546.00,1682,33381.31306198689,32.46
52CRMOV4,417,1,60.6038523054521,522.00,1510,31635.210903445997,34.57
52CRMOV4,72,1,55.9044854300508,545.00,1304,30467.944559377684,41.79
52CRMOV4,147,1,59.4618879620993,512.00,1374,30444.48663659484,37.26
AISI434MNH,511,1,60.0799099851244,488.00,1200,29318.99607274071,40.67
AISI430L,147,1,59.2267080966255,485.00,1217,28724.95342686337,39.85
SCM435,72,1,52.9873906752089,539.00,1472,28560.203573937597,36.62
34CRMO4,76,1,55.6472946145989,502.00,1345,27934.941896528646,37.32
AISI420,203,1,58.7622868695726,475.00,1037,27912.086263046986,45.81
AISI420,203,1,59.7996998048894,465.00,1429,27806.86040927357,32.54
SCM435H,381,1,54.2813085239522,507.00,1384,27520.623421643766,36.63
34CRNIMO6,263,1,49.9783028722164,550.00,1396,27488.066579719023,39.40
SCM435H,203,1,57.4759152958627,475.00,1621,27301.05976553478,29.30
AISI420,544,1,54.2159558478314,497.00,1439,26945.330056372208,34.54
52CRMOV4,544,1,59.1187598281795,452.00,1723,26721.679442337132,26.23
AISI410,544,1,53.5876092644557,498.00,1164,26686.629413698938,42.78
42CRMO4,508,1,55.4735967170666,481.00,1230,26682.800020909035,39.11
AISI435MOH,411,1,58.4355502023439,454.00,1211,26529.73979186413,37.49
52CRMOV4,147,1,56.9353870378143,464.00,1613,26418.019585545837,28.77
52CRMO2V,376,1,54.1159011087769,488.00,1371,26408.55974108313,35.59
SCM435,147,1,53.10811023879,497.00,1643,26394.73078867863,30.25
AISI416,423,1,53.3555712147403,494.00,1049,26357.65218008171,47.09
AISI416,528,1,52.9160232124795,497.00,1262,26299.263536602313,39.38
42CRMOS4,263,1,54.2995724502094,484.00,1310,26280.99306590135,36.95
42CRMO4,508,1,56.7591147754635,457.00,1352,25938.91545238682,33.80
SCM435,147,1,58.2578641070909,442.00,1331,25749.97593533418,33.21
AISI410,257,1,54.8163860981813,466.00,1387,25544.435921752483,33.60
430L,389,1,58.1335945666342,439.00,1111,25520.648014752413,39.51
AISI430L,203,1,57.6171549300097,440.00,1102,25351.548169204267,39.93
AISI420,544,1,56.341516116853,446.00,1435,25128.316188116438,31.08
SCM420HV,377,1,62.7570815557518,398.00,1376,24977.318459189217,28.92
SUP11A,435,1,62.7570815557518,397.00,1223,24914.561377633465,32.46
DY7,508,1,62.7570815557518,397.00,955,24914.561377633465,41.57
AISI434MOL,224,1,53.0021909040389,466.00,1041,24699.020961282127,44.76
SUP6,392,1,62.7570815557518,393.00,1014,24663.533051410457,38.76
AISI434MO1,544,1,56.0389192682931,439.00,1493,24601.08555878067,29.40
SCM420IYM,226,1,62.2543188842531,395.00,1379,24590.455959279974,28.64
AISI410,527,1,50.6709731468326,485.00,1054,24575.421976213813,46.02
38MNVS5,322,1,62.338946439131,393.00,996,24499.205950578482,39.46
52CRMO2V,376,1,62.7570815557518,390.00,1326,24475.261806743205,29.41
AISI430L,345,1,58.8096279249344,415.00,1472,24405.995588847774,28.19
AISI430L,544,1,52.7368922682007,461.00,1076,24311.707335640524,42.84
EN8D,166,1,62.7570815557518,387.00,965,24286.99056207595,40.10
SCM420HV,376,1,62.7570815557518,387.00,1309,24286.99056207595,29.56
SCR420HV,508,1,61.6343194911311,394.00,990,24283.921879505655,39.80
AISI434MOI,544,1,59.5384891404848,406.00,1314,24172.626591036827,30.90
38MNSIVS6,537,1,62.7570815557518,385.00,1238,24161.476398964445,31.10
AISI420,508,1,52.5135150256401,459.00,1397,24103.703396768808,32.86
SCR415HM,247,1,60.1662996771407,400.00,1392,24066.51987085628,28.74
SCM415HV,269,1,62.7570815557518,383.00,883,24035.96223585294,43.37
