GRADE,year,month,monthly_production,profit_margin,production_change,profit_margin_change,trend_status
GRADE3,2023,10,1692.6501990607335,276.500000,1120.5272463115602,-5.600000,"WARNING: Volume up but margin down"
SAE52100,2023,10,1972.6936398820378,273.571429,1023.5850380358783,-4.722689,"WARNING: Volume up but margin down"
S48C,2023,9,1914.1442815313812,193.117647,965.0026551398697,-6.117647,"WARNING: Volume up but margin down"
45C8,2023,10,1125.006306792737,284.000000,904.2233242557802,-21.250000,"WARNING: Volume up but margin down"
R16,2023,10,644.023510812853,258.833333,584.6248274732104,-3.166667,"WARNING: Volume up but margin down"
SSR550,2023,10,1189.3342363870202,272.500000,547.7085555090463,-6.750000,"WARNING: Volume up but margin down"
EN18D,2023,9,494.358373308173,329.222222,318.23363541296897,-42.111111,"WARNING: Volume up but margin down"
AISI430L,2023,9,477.75111100936766,389.222222,317.9833169398403,-37.777778,"WARNING: Volume up but margin down"
SCR420H,2023,9,456.09415878776434,322.750000,289.91397073587456,-22.583333,"WARNING: Volume up but margin down"
12L14,2023,9,663.7802991243733,261.166667,272.522761843716,-11.404762,"WARNING: Volume up but margin down"
100CR6,2023,10,621.7002099412464,267.454545,237.0497175877694,-16.402598,"WARNING: Volume up but margin down"
38MNSIVS6,2023,9,288.88320597139654,315.000000,228.58929350799403,-31.000000,"WARNING: Volume up but margin down"
AISI410,2023,10,416.4631023453868,389.125000,217.0900791728169,-32.375000,"WARNING: Volume up but margin down"
SAE9254,2023,9,569.1404648972228,251.900000,180.94155518855666,-24.528571,"WARNING: Volume up but margin down"
SCM435,2023,9,227.3055702407251,437.750000,174.3181795655162,-101.250000,"WARNING: Volume up but margin down"
SUP11A,2023,10,511.44724266775296,323.777778,161.83877345905472,-5.722222,"WARNING: Volume up but margin down"
C45,2023,9,212.0625569645758,200.250000,159.3787885200804,-21.750000,"WARNING: Volume up but margin down"
AISI420,2023,10,430.08348773836303,389.750000,116.4492371167646,-9.083333,"WARNING: Volume up but margin down"
40MNSIVS6,2023,10,166.08202764851092,289.000000,112.68172159312462,-31.000000,"WARNING: Volume up but margin down"
SCM420,2023,10,166.7396596801495,319.333333,111.88186046425459,-63.666667,"WARNING: Volume up but margin down"
EN19,2023,9,163.4717182995699,334.333333,111.28409037535079,-53.666667,"WARNING: Volume up but margin down"
SCM420HV,2023,10,1064.3393531777974,327.526316,110.4440873329471,-1.036184,"WARNING: Volume up but margin down"
38MNS6,2023,9,624.6001637118566,276.909091,109.96866921469746,-7.090909,"WARNING: Volume up but margin down"
SAE1015,2023,9,275.9296502917796,174.800000,108.73334600904187,-16.866667,"WARNING: Volume up but margin down"
DY7,2023,10,1071.5682258702486,321.473684,77.83834969130919,-18.637427,"WARNING: Volume up but margin down"
36MNVS6,2023,10,114.9343523529314,298.000000,60.4021586337894,-7.000000,"WARNING: Volume up but margin down"
EN8D,2023,10,286.814081501445,321.800000,59.8809810704434,-16.700000,"WARNING: Volume up but margin down"
SAE15B41,2023,10,157.6052836966081,259.000000,58.28718688835551,-76.000000,"WARNING: Volume up but margin down"
S45CP3,2023,10,111.3496348710638,166.000000,57.4250445401375,-12.000000,"WARNING: Volume up but margin down"
C56E2,2023,9,105.3769445090942,302.000000,57.2469204904133,-3.000000,"WARNING: Volume up but margin down"
SCM420H2V2,2023,9,161.4527037532958,307.000000,56.40172576940219,-4.000000,"WARNING: Volume up but margin down"
22MN6,2023,10,162.424878040657,275.666667,55.637408834595604,-12.833333,"WARNING: Volume up but margin down"
SAE5150,2023,10,109.0515804907195,255.500000,54.2755989452777,-37.500000,"WARNING: Volume up but margin down"
S53C,2023,10,222.83032213948388,269.250000,53.158687639069,-33.083333,"WARNING: Volume up but margin down"
AISI410,2023,9,199.3730231725699,421.500000,43.55140763874772,-53.166667,"WARNING: Volume up but margin down"
EN353,2023,10,229.83667792762338,339.250000,13.987988545265495,-3.500000,"WARNING: Volume up but margin down"
SUP6,2023,10,345.59779626218403,314.833333,9.172686349004437,-35.000000,"WARNING: Volume up but margin down"
C70S6,2023,9,163.24783615236748,289.666667,5.049797861899975,-30.000000,"WARNING: Volume up but margin down"
SAE8720M,2023,9,104.5843184486335,284.000000,4.832549215331497,-24.000000,"WARNING: Volume up but margin down"
S45CS1V,2023,10,111.8787837372669,201.500000,3.808944254334506,-6.000000,"WARNING: Volume up but margin down"
SAE1141,2023,10,116.3999541968704,347.000000,3.800811948986592,-2.000000,"WARNING: Volume up but margin down"
AISI434MO,2023,10,55.1684377606377,301.000000,3.099780075693502,-157.000000,"WARNING: Volume up but margin down"
S40C,2023,10,52.4347036548136,277.000000,0.6784362100720003,-55.000000,"WARNING: Volume up but margin down"
