GRADE,Avg_Yield_Percentage,heat_count,total_production,total_input
S45CQDS,96.07,658,41294.15966368427,43287.66455174431
S35CP3,96.04,659,41350.05191180299,43360.68986896051
25MO2V,95.03,685,42988.60086568948,45571.444266436236
38MN2CR,95.02,686,43046.56374282564,45636.61211441877
S70CVS1,94.01,658,40408.94732347411,43287.66455174431
UC1,93.97,658,40391.38946339166,43287.66455174431
16MNCRH,93.56,661,40394.74869576128,43477.502470403146
S48CSIV,93.33,2030,124680.44815821075,134569.531704642
36MNVS4,93.12,659,40084.50935463389,43351.02808702909
30MNVS6,92.3,686,41820.72477741781,45643.638362198675
AISI434MNH,90.97,685,41154.738339809875,45571.444266436236
SUP11,90.78,1373,82341.05564425347,91369.76627947707
42CR4MO2,90.77,659,39070.83029625836,43349.38840483728
R10S10U,90.44,658,38875.22462654197,43287.66455174431
SCM420V,90.28,686,40893.86557115406,45630.61418379331
EN8D,90.24,1983,116903.7447747168,130457.40240492744
AISI434MOI,90.15,685,40783.86506123226,45571.444266436236
52CRMO2V,89.46,1317,76963.56052927075,86641.84865609893
C45MO,89.16,688,40491.10440651441,45749.4499093594
R10S10V,89.1,685,40307.24882287221,45571.444266436236
C45MO2,88.79,658,38167.859200484745,43287.66455174431
SAE1030,88.63,2714,158447.32925341438,180073.14854364409
40CR4C,88.52,4662,270428.7446416969,307705.1258659921
SAE1548,88.26,1371,79915.4480269635,91209.22758392262
SCM420H,88.26,4057,235602.3263411471,268921.81531359593
S15CP3,88.08,1316,75725.50266592178,86575.32910348878
41CR4C,87.79,659,37792.32630564727,43353.66038519155
38MNVS6,87.76,26752,1540179.7533224914,1767653.671631855
C45MOD2,87.66,2664,153017.2950463307,175753.37201247062
60SICR7,87.65,685,39650.82396864179,45571.444266436236
SCM420HV,87.64,20750,1193011.9924012024,1371142.025079611
EN52,87.53,4033,231835.71932399843,266821.42959335935
SCM415,87.47,10613,607748.1271558359,699716.1016298922
56SICR7,87.37,6117,352101.79712209565,405979.0009570161
SCM415HV,87.3,16239,933078.3538610447,1076477.6150151093
SAE1541M,87.29,2011,115104.29278959957,132801.28502052499
38B3,87.28,4717,270681.0971272448,312353.9330770249
SCR420H,87.24,3407,195867.0267521563,226159.5671638928
44MNSIVS6,87.06,10148,581456.9185203201,672654.9455830842
38MNSIVS6,87.03,2715,155670.24118835016,180140.7580620649
27MNCRB5,86.94,5428,310867.609656381,360143.7964045645
SAE8617H,86.92,2028,116012.81894892555,134430.5530846166
SCM420HVI,86.89,2030,116060.43670752368,134550.49019422146
15B41M,86.78,661,37486.54012284272,43503.723702500254
SCM420IYM,86.76,3398,194295.2706020443,225573.44161748758
SAE1050,86.73,12787,728671.4048829621,846290.942143973
20MOCR4,86.71,1370,78449.37555797918,91142.88853287247
AISI420VL,86.67,658,37256.595916648956,43287.66455174431
60SI7,86.6,14837,844826.2518918178,982683.5291279284
100CR6,86.59,12097,688153.9146425226,800404.2148117109
EN18D,86.59,8041,456944.45821293606,531529.2528711976
